"dia";"total_cargas";"cargas_concluidas"
2020-06-12 00:00:00;87;80
2020-06-13 00:00:00;87;80
2020-06-14 00:00:00;87;59
2020-06-15 00:00:00;87;78
2020-06-16 00:00:00;87;80
2020-06-17 00:00:00;87;81
2020-06-18 00:00:00;87;81
2020-06-19 00:00:00;87;80
2020-06-20 00:00:00;87;72
2020-06-21 00:00:00;87;59
2020-06-22 00:00:00;87;79
2020-06-23 00:00:00;87;78
2020-06-24 00:00:00;87;77
2020-06-25 00:00:00;87;80
2020-06-26 00:00:00;87;78
2020-06-27 00:00:00;87;76
2020-06-28 00:00:00;87;59
2020-06-29 00:00:00;87;75
2020-06-30 00:00:00;87;76
2020-07-01 00:00:00;90;77
2020-07-02 00:00:00;87;76
2020-07-03 00:00:00;87;78
2020-07-04 00:00:00;87;73
2020-07-05 00:00:00;87;72
2020-07-06 00:00:00;87;80
2020-07-07 00:00:00;87;81
2020-07-08 00:00:00;87;83
2020-07-09 00:00:00;86;83
2020-07-10 00:00:00;86;83
2020-07-11 00:00:00;86;77
2020-07-12 00:00:00;86;71
2020-07-13 00:00:00;86;79
2020-07-14 00:00:00;86;81
2020-07-15 00:00:00;86;82
2020-07-16 00:00:00;86;79
2020-07-17 00:00:00;86;81
2020-07-18 00:00:00;87;78
2020-07-19 00:00:00;87;65
2020-07-20 00:00:00;87;78
2020-07-21 00:00:00;87;79
2020-07-22 00:00:00;87;80
2020-07-23 00:00:00;87;79
2020-07-24 00:00:00;87;78
2020-07-25 00:00:00;87;75
2020-07-26 00:00:00;87;61
2020-07-27 00:00:00;87;78
2020-07-28 00:00:00;87;80
2020-07-29 00:00:00;87;78
2020-07-30 00:00:00;87;82
2020-07-31 00:00:00;87;81
2020-08-01 00:00:00;90;84
2020-08-02 00:00:00;87;62
2020-08-03 00:00:00;87;77
2020-08-04 00:00:00;86;82
2020-08-05 00:00:00;87;83
2020-08-06 00:00:00;87;82
2020-08-07 00:00:00;87;83
2020-08-08 00:00:00;87;75
2020-08-09 00:00:00;87;70
2020-08-10 00:00:00;86;81
2020-08-11 00:00:00;87;82
2020-08-12 00:00:00;87;85
2020-08-13 00:00:00;87;83
2020-08-14 00:00:00;86;83
2020-08-15 00:00:00;86;80
2020-08-16 00:00:00;86;53
2020-08-17 00:00:00;86;80
2020-08-18 00:00:00;86;81
2020-08-19 00:00:00;86;83
2020-08-20 00:00:00;86;83
2020-08-21 00:00:00;86;83
2020-08-22 00:00:00;86;79
2020-08-23 00:00:00;86;71
2020-08-24 00:00:00;86;82
2020-08-25 00:00:00;87;83
2020-08-26 00:00:00;87;84
2020-08-27 00:00:00;87;85
2020-08-28 00:00:00;89;87
2020-08-29 00:00:00;89;85
2020-08-30 00:00:00;89;77
2020-08-31 00:00:00;89;85
2020-09-01 00:00:00;93;90
2020-09-02 00:00:00;90;83
