CAMINHO;MACRO;ROBO;HORA
U:\Verdecard\MIS\006_ADMINISTRACAO\001_RELATORIOS\D_AVALIACAO_ATENDIMENTO\PESQUISA_SATISFACAO_SAC.xlsm;!ATUALIZAR_TUDO;GARVIS;15:44:35
U:\Verdecard\MIS\006_ADMINISTRACAO\001_RELATORIOS\D_BOLSAO_DESCONTOS\BOLSAO_DESCONTOS.xlsm;!ATUALIZAR_TUDO;CARGAS;04:18:29
U:\Verdecard\MIS\006_ADMINISTRACAO\001_RELATORIOS\D_CHAMADOS_OPERACOES\CHAMADOS_FIREMAN_OPERACOES.xlsm;!ATUALIZAR_TUDO;CARGAS;03:10:13
U:\Verdecard\MIS\006_ADMINISTRACAO\001_RELATORIOS\D_CHAMADOS_TI_VD\CHAMADOS_TI_VD.xlsm;!ATUALIZAR_TUDO;GARVIS;02:41:54
U:\Verdecard\MIS\006_ADMINISTRACAO\001_RELATORIOS\D_CLIENTE_PJ\CLIENTES_PJ.xlsm;!ATUALIZAR_TUDO;CARGAS;10:42:05
U:\Verdecard\MIS\006_ADMINISTRACAO\001_RELATORIOS\D_CLIQQ_TELEFONES\CLIQQ_PDV_TELEFONES.xlsm;!ATUALIZAR_TUDO;GARVIS;07:36:15
U:\Verdecard\MIS\006_ADMINISTRACAO\001_RELATORIOS\D_CONTAS_CADASTRO_LOJISTA\CONTAS_CADASTRO_LOJISTA.xlsm;!ATUALIZAR_TUDO;CARGAS;10:34:35
U:\Verdecard\MIS\006_ADMINISTRACAO\001_RELATORIOS\D_CONTROLE_DW_MIS\CONTROLE_MIS.xlsb;!ATUALIZAR_TUDO;CARGAS;23:00:59
U:\Verdecard\MIS\006_ADMINISTRACAO\001_RELATORIOS\D_HORAS_CD\HORAS_CD.xlsm;!ATUALIZAR_TUDO;JARVIS;15:55:55
U:\Verdecard\MIS\006_ADMINISTRACAO\001_RELATORIOS\D_IMAGENS_CLIQQ\IMAGENS_CLIQQ_PRE_CADASTRO_GERAL.xlsb;!ATUALIZAR_TUDO;CARGAS;09:57:43
U:\Verdecard\MIS\006_ADMINISTRACAO\001_RELATORIOS\D_LINK_PAG\LINK_PAGAMENTO.xlsb;!ATUALIZAR_TUDO;CARGAS;03:18:13
U:\Verdecard\MIS\006_ADMINISTRACAO\001_RELATORIOS\D_MOTIVO_DE_ATENDIMENTO\MOTIVO_DE_ATENDIMENTO.xlsm;!ATUALIZAR_TUDO;GARVIS;15:22:03
U:\Verdecard\MIS\006_ADMINISTRACAO\001_RELATORIOS\D_PARCELAMENTO_APP\PARCELAMENTO_APP.xlsb;!ATUALIZAR_TUDO;CARGAS;10:46:41
U:\Verdecard\MIS\006_ADMINISTRACAO\001_RELATORIOS\D_PASSAGENS_MESA\PASSAGENS_MESA.xlsm;!ATUALIZAR_TUDO;CARGAS;09:47:05
U:\Verdecard\MIS\006_ADMINISTRACAO\001_RELATORIOS\D_PRODUCAO_ESPECIALISTA\BD_PRODUCAO_ESPECIALISTAS.xlsm;!ATUALIZAR_TUDO;GARVIS;10:07:12
U:\Verdecard\MIS\006_ADMINISTRACAO\001_RELATORIOS\D_PRODUTIVIDADE_ATENDIMENTO\PRODUTIVIDADE_ATENDIMENTO.xlsm;!ATUALIZAR_TUDO;JARVIS;15:52:14
U:\Verdecard\MIS\006_ADMINISTRACAO\001_RELATORIOS\D_PRODUTIVIDADE_POR_OPERADOR\GERAR_BASES_ATENDIMENTO_MESA.xlsm;!ATUALIZAR_TUDO;JARVIS;14:15:19
U:\Verdecard\MIS\006_ADMINISTRACAO\001_RELATORIOS\D_PROJETO_GAZIN\PROJETO_GAZIN.xlsm;!ATUALIZAR_TUDO;GARVIS;00:58:13
U:\Verdecard\MIS\006_ADMINISTRACAO\001_RELATORIOS\D_RETORNOS_SMS_CADASTRO\RETORNOS_SMS_CADASTRO.xlsm;!ATUALIZAR_TUDO;JARVIS;13:12:12
U:\Verdecard\MIS\006_ADMINISTRACAO\001_RELATORIOS\D_VAGAS_ORCADO_REAL\VAGAS_ORCADO_REAL.xlsm;!ATUALIZAR_TUDO;GARVIS;14:04:31
U:\Verdecard\MIS\006_ADMINISTRACAO\001_RELATORIOS\M_ACOMP_PROD_LB_OPERACOES\BD_ACOMP_PROD_LB_OPERACOES.xlsm;!ATUALIZAR_TUDO;GARVIS;03:38:12
U:\Verdecard\MIS\006_ADMINISTRACAO\001_RELATORIOS\M_BOOK_VENDEDORES\Book_Vendedores.xlsm;!ENVIO_EMAILS;CARGAS;19:21:32
U:\Verdecard\MIS\006_ADMINISTRACAO\001_RELATORIOS\M_BOOK_VENDEDORES\Book_Vendedores.xlsm;!ENVIO_EMAIL_INDIVIDUAL;CARGAS;11:53:55
U:\Verdecard\MIS\006_ADMINISTRACAO\001_RELATORIOS\M_BOOK_VENDEDORES\Book_Vendedores.xlsm;!SOLICITAR_BASE_DESPONTES;CARGAS;05:13:32
